model,task,cv_type,eval_set,sensor_config,num_seconds,fold,doctor_trials,f1,precision,recall,accuracy,Lump_f1,Lump_precision,Lump_recall,Lump_acc,Size_f1,Size_precision,Size_recall,Size_acc,Position_f1,Position_precision,Position_recall,Position_acc,combined_f1,combined_precision,combined_recall,combined_accuracy
inceptiontime,lump_binary,group,val,tips_middle,1,3,11,0.7231638418079096,0.6757164404223228,0.7777777777777778,0.7022569444444444,,,,,,,,,,,,,0.7231638418079096,0.6757164404223228,0.7777777777777778,0.7022569444444444
inceptiontime,lump_binary,group,val,tips_middle,1,4,11,0.710691823899371,0.6494252873563219,0.7847222222222222,0.6805555555555556,,,,,,,,,,,,,0.710691823899371,0.6494252873563219,0.7847222222222222,0.6805555555555556
inceptiontime,lump_binary,group,val,tips_middle,1,0,12,0.691358024691358,0.6222222222222222,0.7777777777777778,0.648876404494382,,,,,,,,,,,,,0.691358024691358,0.6222222222222222,0.7777777777777778,0.648876404494382
inceptiontime,lump_binary,group,val,tips_middle,1,1,12,0.7511649580615097,0.8108651911468813,0.6996527777777778,0.7682291666666666,,,,,,,,,,,,,0.7511649580615097,0.8108651911468813,0.6996527777777778,0.7682291666666666
inceptiontime,lump_binary,group,val,tips_middle,1,2,12,0.7396449704142012,0.6443298969072165,0.8680555555555556,0.6944444444444444,,,,,,,,,,,,,0.7396449704142012,0.6443298969072165,0.8680555555555556,0.6944444444444444
inceptiontime,lump_binary,group,val,tips_middle,1,3,12,0.6375478927203065,0.5706447187928669,0.7222222222222222,0.5894097222222222,,,,,,,,,,,,,0.6375478927203065,0.5706447187928669,0.7222222222222222,0.5894097222222222
inceptiontime,lump_binary,group,val,tips_middle,1,4,12,0.7152831652443755,0.6465638148667602,0.8003472222222222,0.6814236111111112,,,,,,,,,,,,,0.7152831652443755,0.6465638148667602,0.8003472222222222,0.6814236111111112
inceptiontime,lump_binary,group,val,tips_middle,1,0,13,0.6995336442371752,0.6722151088348272,0.7291666666666666,0.6868055555555556,,,,,,,,,,,,,0.6995336442371752,0.6722151088348272,0.7291666666666666,0.6868055555555556
inceptiontime,lump_binary,group,val,tips_middle,1,1,13,0.7340696686491079,0.718801996672213,0.75,0.7282986111111112,,,,,,,,,,,,,0.7340696686491079,0.718801996672213,0.75,0.7282986111111112
inceptiontime,lump_binary,group,val,tips_middle,1,2,13,0.7828020756115641,0.6830530401034929,0.9166666666666666,0.7456597222222222,,,,,,,,,,,,,0.7828020756115641,0.6830530401034929,0.9166666666666666,0.7456597222222222
inceptiontime,lump_binary,group,val,tips_middle,1,3,13,0.7094220110847189,0.6521106259097526,0.7777777777777778,0.6814236111111112,,,,,,,,,,,,,0.7094220110847189,0.6521106259097526,0.7777777777777778,0.6814236111111112
inceptiontime,lump_binary,group,val,tips_middle,1,4,13,0.7418856259659969,0.6685236768802229,0.8333333333333334,0.7100694444444444,,,,,,,,,,,,,0.7418856259659969,0.6685236768802229,0.8333333333333334,0.7100694444444444
inceptiontime,lump_binary,group,val,tips_middle,1,0,14,0.6898360655737705,0.653416149068323,0.7305555555555555,0.6715277777777777,,,,,,,,,,,,,0.6898360655737705,0.653416149068323,0.7305555555555555,0.6715277777777777
inceptiontime,lump_binary,group,val,tips_middle,1,1,14,0.7457351746547523,0.7007633587786259,0.796875,0.7282986111111112,,,,,,,,,,,,,0.7457351746547523,0.7007633587786259,0.796875,0.7282986111111112
inceptiontime,lump_binary,group,val,tips_middle,1,2,14,0.7300813008130081,0.6865443425076453,0.7795138888888888,0.7118055555555556,,,,,,,,,,,,,0.7300813008130081,0.6865443425076453,0.7795138888888888,0.7118055555555556
inceptiontime,lump_binary,group,val,tips_middle,1,3,14,0.7080645161290322,0.661144578313253,0.7621527777777778,0.6857638888888888,,,,,,,,,,,,,0.7080645161290322,0.661144578313253,0.7621527777777778,0.6857638888888888
inceptiontime,lump_binary,group,val,tips_middle,1,4,14,0.7271280827366746,0.671071953010279,0.7934027777777778,0.7022569444444444,,,,,,,,,,,,,0.7271280827366746,0.671071953010279,0.7934027777777778,0.7022569444444444
inceptiontime,lump_binary,group,val,tips_middle,1,0,15,0.7107438016528925,0.6180698151950719,0.8361111111111111,0.6597222222222222,,,,,,,,,,,,,0.7107438016528925,0.6180698151950719,0.8361111111111111,0.6597222222222222
inceptiontime,lump_binary,group,val,tips_middle,1,1,15,0.7208904109589042,0.7111486486486487,0.7309027777777778,0.7170138888888888,,,,,,,,,,,,,0.7208904109589042,0.7111486486486487,0.7309027777777778,0.7170138888888888
inceptiontime,lump_binary,group,val,tips_middle,1,2,15,0.7379255740300871,0.6783114992721979,0.8090277777777778,0.7126736111111112,,,,,,,,,,,,,0.7379255740300871,0.6783114992721979,0.8090277777777778,0.7126736111111112
inceptiontime,lump_binary,group,val,tips_middle,1,3,15,0.7113985448666128,0.6656580937972768,0.7638888888888888,0.6901041666666666,,,,,,,,,,,,,0.7113985448666128,0.6656580937972768,0.7638888888888888,0.6901041666666666
inceptiontime,lump_binary,group,val,tips_middle,1,4,15,0.702020202020202,0.6813725490196079,0.7239583333333334,0.6927083333333334,,,,,,,,,,,,,0.702020202020202,0.6813725490196079,0.7239583333333334,0.6927083333333334
inceptiontime,lump_binary,plain,val,tips_middle,1,0,0,0.8780903665814151,0.8626465661641541,0.8940972222222222,0.8758680555555556,,,,,,,,,,,,,0.8780903665814151,0.8626465661641541,0.8940972222222222,0.8758680555555556
inceptiontime,lump_binary,plain,doctors_test,tips_middle,1,0,0,0.662004662004662,0.4982456140350877,0.9861111111111112,0.4965277777777778,,,,,,,,,,,,,0.662004662004662,0.4982456140350877,0.9861111111111112,0.4965277777777778
inceptiontime,lump_binary,plain,val,tips_middle,1,1,0,0.891156462585034,0.8733333333333333,0.9097222222222222,0.8888888888888888,,,,,,,,,,,,,0.891156462585034,0.8733333333333333,0.9097222222222222,0.8888888888888888
inceptiontime,lump_binary,plain,doctors_test,tips_middle,1,1,0,0.6666666666666666,0.5,1.0,0.5,,,,,,,,,,,,,0.6666666666666666,0.5,1.0,0.5
inceptiontime,lump_binary,plain,val,tips_middle,1,2,0,0.8904347826086957,0.89198606271777,0.8888888888888888,0.890625,,,,,,,,,,,,,0.8904347826086957,0.89198606271777,0.8888888888888888,0.890625
inceptiontime,lump_binary,plain,doctors_test,tips_middle,1,2,0,0.013513513513513514,0.25,0.006944444444444444,0.4930555555555556,,,,,,,,,,,,,0.013513513513513514,0.25,0.006944444444444444,0.4930555555555556
inceptiontime,lump_binary,plain,val,tips_middle,1,3,0,0.8915456874466268,0.8773109243697479,0.90625,0.8897569444444444,,,,,,,,,,,,,0.8915456874466268,0.8773109243697479,0.90625,0.8897569444444444
inceptiontime,lump_binary,plain,doctors_test,tips_middle,1,3,0,0.6573426573426573,0.49473684210526314,0.9791666666666666,0.4895833333333333,,,,,,,,,,,,,0.6573426573426573,0.49473684210526314,0.9791666666666666,0.4895833333333333
inceptiontime,lump_binary,plain,val,tips_middle,1,4,0,0.8547008547008547,0.8417508417508418,0.8680555555555556,0.8524305555555556,,,,,,,,,,,,,0.8547008547008547,0.8417508417508418,0.8680555555555556,0.8524305555555556
inceptiontime,lump_binary,plain,doctors_test,tips_middle,1,4,0,0.6666666666666666,0.5,1.0,0.5,,,,,,,,,,,,,0.6666666666666666,0.5,1.0,0.5
inceptiontime,lump_binary,plain,val,tips_middle,1,0,1,0.8999158957106812,0.8784893267651889,0.9224137931034483,0.8974137931034483,,,,,,,,,,,,,0.8999158957106812,0.8784893267651889,0.9224137931034483,0.8974137931034483
inceptiontime,lump_binary,plain,val,tips_middle,1,1,1,0.9002514668901928,0.8745928338762216,0.927461139896373,0.8973252804141502,,,,,,,,,,,,,0.9002514668901928,0.8745928338762216,0.927461139896373,0.8973252804141502
inceptiontime,lump_binary,plain,val,tips_middle,1,2,1,0.894874022589053,0.9003496503496503,0.8894645941278065,0.8955996548748921,,,,,,,,,,,,,0.894874022589053,0.9003496503496503,0.8894645941278065,0.8955996548748921
inceptiontime,lump_binary,plain,val,tips_middle,1,3,1,0.8796610169491526,0.8635607321131448,0.8963730569948186,0.8774805867126834,,,,,,,,,,,,,0.8796610169491526,0.8635607321131448,0.8963730569948186,0.8774805867126834
inceptiontime,lump_binary,plain,val,tips_middle,1,4,1,0.8951541850220265,0.9136690647482014,0.8773747841105354,0.8973252804141502,,,,,,,,,,,,,0.8951541850220265,0.9136690647482014,0.8773747841105354,0.8973252804141502
