model,task,cv_type,fold,doctor_trials,f1,precision,recall,accuracy
inceptiontime,position_multiclass,group,1,11,0.3638259831522518,0.3911677232363167,0.3760658914728682,0.48579545454545453
inceptiontime,position_multiclass,group,2,11,0.3797899423153521,0.3760643365223928,0.39453125,0.4678819444444444
inceptiontime,position_multiclass,group,3,11,0.3404591364367864,0.34611111763957114,0.34375,0.4756944444444444
inceptiontime,position_multiclass,group,4,11,0.3537457705390229,0.3871341904689626,0.3550347222222222,0.4965277777777778
inceptiontime,position_multiclass,group,0,12,0.3017246791886019,0.31457150561711184,0.31534090909090906,0.39957865168539325
inceptiontime,position_multiclass,group,1,12,0.39490673521608244,0.432914269772413,0.4105902777777778,0.5746527777777778
inceptiontime,position_multiclass,group,2,12,0.4451502783819393,0.4491594908033105,0.4592013888888889,0.5798611111111112
inceptiontime,position_multiclass,group,3,12,0.362605340228541,0.3650406773038919,0.3611111111111111,0.4635416666666667
inceptiontime,position_multiclass,group,4,12,0.38650153872959436,0.3876405146592386,0.38671875,0.4921875
inceptiontime,position_multiclass,group,0,13,0.38609252481024114,0.3927493369308514,0.38845486111111116,0.4505208333333333
inceptiontime,position_multiclass,group,1,13,0.3631637874649922,0.3864118209903603,0.3854166666666667,0.4888888888888889
inceptiontime,position_multiclass,group,2,13,0.38372060932559665,0.380730476889059,0.3910590277777778,0.4939236111111111
inceptiontime,position_multiclass,group,3,13,0.31471852833581226,0.3213203279860336,0.32161458333333337,0.4626736111111111
inceptiontime,position_multiclass,group,4,13,0.3663710106379675,0.4104341201258226,0.3619791666666667,0.4982638888888889
inceptiontime,position_multiclass,group,0,14,0.42239184068514224,0.4208921283822241,0.4396701388888889,0.5251736111111112
inceptiontime,position_multiclass,group,1,14,0.3506712808703564,0.3945102329148824,0.36736111111111114,0.475
inceptiontime,position_multiclass,group,2,14,0.3868714001119046,0.38140832714674544,0.40234375,0.4592013888888889
inceptiontime,position_multiclass,group,3,14,0.314609040684887,0.3207734188443377,0.3289930555555556,0.4704861111111111
inceptiontime,position_multiclass,group,4,14,0.36917536288857156,0.38533221822377894,0.3671875,0.4791666666666667
inceptiontime,position_multiclass,group,0,15,0.4399877646038507,0.44618038976895613,0.44140625,0.5407986111111112
inceptiontime,position_multiclass,group,1,15,0.3494245075038797,0.37057210488361564,0.3642361111111111,0.4701388888888889
inceptiontime,position_multiclass,group,2,15,0.3799756214685085,0.38505265353023244,0.3953993055555556,0.4800347222222222
inceptiontime,position_multiclass,group,3,15,0.34536815792588504,0.3598230783974393,0.34505208333333337,0.4782986111111111
inceptiontime,position_multiclass,group,4,15,0.3666611908964408,0.37219123842107715,0.3658854166666667,0.4574652777777778
inceptiontime,position_multiclass,plain,0,0,0.7087691331735952,0.7084738628788971,0.7096354166666666,0.7751736111111112
inceptiontime,position_multiclass,plain,1,0,0.740563962083756,0.7479586136586298,0.734375,0.8020833333333334
inceptiontime,position_multiclass,plain,2,0,0.7180458632945547,0.7207783399971508,0.7200520833333334,0.7838541666666666
inceptiontime,position_multiclass,plain,3,0,0.719737950084582,0.7260348220733599,0.7152777777777778,0.7847222222222222
inceptiontime,position_multiclass,plain,4,0,0.7245523947855668,0.7308815098410828,0.7196180555555556,0.7881944444444444
inceptiontime,position_multiclass,plain,0,1,0.6942610364169073,0.7088028864327061,0.6867128855852687,0.7741379310344828
inceptiontime,position_multiclass,plain,1,1,0.7296860818622712,0.7347388118314235,0.7282099635278515,0.7937877480586712
inceptiontime,position_multiclass,plain,2,1,0.7299244272457793,0.736515874178554,0.725554680592396,0.7903364969801553
inceptiontime,position_multiclass,plain,3,1,0.6915430331711552,0.7039476327740942,0.6837595324933686,0.7653149266609146
inceptiontime,position_multiclass,plain,4,1,0.7113768059313418,0.7261147200493338,0.7064461759504863,0.7808455565142364
inceptiontime,position_multiclass,plain,0,2,0.7325139305320576,0.7379445202213386,0.7301845995247414,0.7969151670951157
inceptiontime,position_multiclass,plain,1,2,0.7190950208807352,0.7360678227813782,0.7070818593506949,0.7900599828620394
inceptiontime,position_multiclass,plain,2,2,0.7193929818125047,0.720873427290363,0.7196014993853179,0.7847341337907375
inceptiontime,position_multiclass,plain,3,2,0.7386398020927792,0.7557447472837258,0.7328514664559186,0.8001715265866209
inceptiontime,position_multiclass,plain,4,2,0.6922284656426894,0.6933255086234229,0.6916998704776959,0.7632933104631218
inceptiontime,position_multiclass,plain,0,3,0.7161214632159444,0.7193947695171685,0.7146520146520147,0.7844974446337308
inceptiontime,position_multiclass,plain,1,3,0.7200567577183445,0.722737664743279,0.7189495028780744,0.7879045996592845
inceptiontime,position_multiclass,plain,2,3,0.7191356924304254,0.7259349457330142,0.7164115646258503,0.7862010221465077
inceptiontime,position_multiclass,plain,3,3,0.720325298170017,0.7248872764997529,0.7171964939822082,0.7851662404092071
inceptiontime,position_multiclass,plain,4,3,0.6903076698181712,0.6926197962467392,0.6920068027210884,0.7621483375959079
inceptiontime,position_multiclass,plain,0,4,0.7191772005346156,0.7293898070692013,0.7116289172821836,0.785774767146486
inceptiontime,position_multiclass,plain,1,4,0.690216997777796,0.7012757975518529,0.6890903865307132,0.7603725656223539
inceptiontime,position_multiclass,plain,2,4,0.7186747320573164,0.7242281913957735,0.7175773082023083,0.7891617273497037
inceptiontime,position_multiclass,plain,3,4,0.7104839387593432,0.717419386146522,0.7069574649931792,0.7790008467400508
inceptiontime,position_multiclass,plain,4,4,0.7184847259084877,0.7343034676217794,0.7113909363909363,0.785593220338983
inceptiontime,position_multiclass,plain,0,5,0.7019795127806496,0.7105398747638411,0.6974295179540155,0.768581081081081
inceptiontime,position_multiclass,plain,1,5,0.6870774262300179,0.6938393462822716,0.6818635630350455,0.7660472972972973
inceptiontime,position_multiclass,plain,2,5,0.722948848572528,0.741620112525688,0.7092251116905639,0.7863175675675675
inceptiontime,position_multiclass,plain,3,5,0.7072402266377491,0.7171357081879675,0.7003143575850861,0.777027027027027
inceptiontime,position_multiclass,plain,4,5,0.744220910037309,0.7494662194756062,0.7395142997821569,0.8032094594594594
